2081, 2081
[-1.#IND; -1.#IND; -1.#IND]
[-1.#IND; -1.#IND; -1.#IND]
[-5034.7397; -3246.1729; 1]
[-4968.9658; -3215.1931; 1]
[-4969.7217; -3215.7073; 1]
[-4970.4766; -3216.2205; 0.99999994]
[-4971.0635; -3216.625; 1]
[-4973.0244; -3214.2761; 0.99999994]
[-4973.3003; -3214.6799; 1]
[-4974.1953; -3215.2715; 1]
[-4974.6709; -3215.6072; 1]
[-4601.7925; -2952.9434; 1]
[-4624.1079; -2947.8618; 1]
[-4625.8574; -2948.9553; 1]
[-4627.1211; -2949.7642; 1]
[-4627.7251; -2950.1296; 1]
[-4395.1909; -2802.6248; 1]
[-4296.6157; -2716.6982; 1]
[-4291.6831; -2692.5793; 1]
[-4275.2969; -2662.1262; 1]
[-4213.6479; -2611.8213; 1]
[-4219.2998; -2618.6738; 1]
[-4219.8535; -2619.0393; 1]
[-4344.2456; -2690.7478; 1]
[-4344.8267; -2691.1299; 0.99999994]
[-4471.6821; -2814.5371; 1]
[-4820.9731; -3046.3972; 0.99999994]
[-4823.3784; -3052.02; 0.99999994]
[-4824.0874; -3052.4941; 0.99999994]
[-4824.7964; -3052.9685; 1]
[-4825.5073; -3053.4446; 1]
[-4846.1519; -3062.3359; 1]
[-4846.8638; -3062.8123; 1]
[-4827.5342; -3045.6885; 0.99999994]
[-4942.3315; -3157.7427; 1]
[-4945.873; -3161.4407; 1]
[-5208.9673; -3379.4805; 1]
[-5230.5874; -3407.6936; 1]
[-5374.5181; -3508.5496; 1]
[-5700.3682; -3732.218; 1]
[-5706.2568; -3726.6047; 1]
[-5706.5532; -3729.7256; 1]
[-1.#INF; 1.#INF; -1.#IND]
[12354.702; -3202.6516; 1]
[-6782.1631; -4272.5225; 1]
[2564.7673; 1006.0273; 1]
[21632.67; 4077.1106; 1]
[1682.3776; 450.81561; 1]
[5809.1831; 2341.7314; 1]
[666.73743; 492.98926; 1]
[838.21112; 956.44269; 1]
[-20496.18; -5408.4902; 1]
[693.88269; -37.78278; 1]
[1025.546; -65.324104; 0.99999994]
[5433.085; 1355.9105; 1]
[702.96167; 1060.564; 1]
[623.3808; 31.790564; 1]
[-5455.4126; 333.32587; 1]
[2566.7166; 282.08887; 1]
[-4021.3237; -306.74509; 1]
[3373.0161; 222.98157; 0.99999994]
[325.57257; 326.14957; 0.99999994]
[1323.9741; -458.78888; 1]
[1299.2411; -938.90228; 1]
[2247.8799; 239.30621; 1]
[-6999.0757; 6094.9736; 1]
[1830.7095; -1392.9937; 0.99999994]
[3827.8347; 20.502127; 1]
[-1062.8292; -1906.2433; 1]
[94.776627; 177.54399; 1]
[-666.83911; -185.61974; 1]
[-1108.3702; 39.336605; 1]
[5.7973676; 111.45454; 1]
[-38.488937; 55.749653; 1]
[-127.03554; 60.346058; 1]
[-97.002518; 83.196815; 0.99999994]
[-156.62996; 180.21964; 1]
[-139.59509; 227.03867; 1]
[-207.51855; 283.24179; 1]
[-375.40622; 359.46423; 1]
[-456.71448; 431.39154; 1]
[-562.13287; 486.04401; 0.99999994]
[-632.07318; 567.43243; 1]
[-665.85834; 614.86255; 1]
[-663.76904; 589.75635; 1]
[-666.39935; 605.81866; 1]
[-669.77856; 576.57111; 1]
[-662.48151; 551.17566; 1]
[-634.7373; 514.80206; 1]
[-625.47144; 487.65906; 1]
[-605.81757; 456.37946; 1]
[-588.37592; 420.88678; 0.99999994]
[-571.29834; 408.17618; 1]
[-540.9342; 386.45822; 1]
[-492.16275; 359.53967; 1]
[-440.74893; 336.02774; 1]
[-418.70813; 323.41614; 1]
[-401.59296; 310.16748; 0.99999994]
[-383.13943; 303.28079; 1]
[-329.69647; 278.67276; 0.99999994]
[-309.46304; 263.09814; 1]
[-278.05209; 250.37686; 0.99999994]
[-222.03381; 232.22372; 1]
[-174.52769; 228.51772; 1]
[-140.03566; 212.38115; 1]
[-132.34117; 195.157; 1]
[-123.25542; 181.82219; 1]
[-108.38501; 167.25981; 1]
[-83.769592; 154.83992; 1]
[-23.464758; 140.23288; 1]
[61.257095; 139.09659; 1]
[96.870384; 128.33221; 1]
[107.20798; 129.45045; 0.99999994]
[113.49868; 129.85205; 1]
